"id","name","team_id","birthday","nationality","position","minutes_played","goal_scored","assists"
5,"David de Gea",210,"1990-11-07","Spain","Goalkeeper",3420,0,0
6,"Matteo Darmian",210,"1989-12-02","Italy","Defender",443,0,0
7,"Victor Nilsson Lindelöf",210,"1994-07-17","Sweden","Defender",2602,1,1
8,"Luke Shaw",210,"1995-07-12","England","Defender",2592,1,4
9,"Eric Bertrand Bailly",210,"1994-04-12","Côte d'Ivoire","Defender",637,0,0
10,"Juan Mata",210,"1988-04-28","Spain","Midfielder",1294,3,2
11,"Paul Pogba",210,"1993-03-15","France","Midfielder",3011,13,9
12,"Frederico Rodrigues Santos",210,"1993-03-05","Brazil","Midfielder",1045,1,1
13,"Andreas Pereira",210,"1996-01-01","Brazil","Midfielder",595,1,1
14,"Alexis Sanchez",210,"1988-12-19","Chile","Forward",877,1,3
15,"Marcus Rashford",210,"1997-10-31","England","Forward",2362,10,6
16,"Romelu Lukaku",210,"1993-05-13","Belgium","Forward",2130,12,0
17,"Scott McTominay",210,"1996-12-08","England","Midfielder",861,2,0
18,"Marouane Fellaini",210,"1987-11-22","Belgium","Midfielder",744,0,1
19,"Anthony Martial",210,"1995-12-05","France","Forward",1623,10,2
20,"Chris Smalling",210,"1989-11-22","England","Defender",2128,1,0
21,"Lee Grant",210,"1983-01-27","England","Goalkeeper",0,0,0
22,"Ashley Young",210,"1985-07-09","England","Midfielder",2568,2,2
23,"Kasper Schmeichel",204,"1986-11-05","Denmark","Goalkeeper",3420,0,0
24,"Wes Morgan",204,"1984-01-21","Jamaica","Defender",1926,3,0
25,"Harry Maguire",204,"1993-03-05","England","Defender",2599,3,0
26,"Ricardo Domingos Barbosa Pereira",204,"1993-10-06","Portugal","Defender",3125,2,6
27,"Ben Chilwell",204,"1996-12-21","England","Defender",3240,0,4
28,"Adrien Sebastian Perruchet Silva",204,"1989-03-15","Portugal","Midfielder",88,0,0
29,"Daniel Amartey",204,"1994-12-21","Ghana","Midfielder",640,0,0
30,"Onyinye Wilfred Ndidi",204,"1996-12-16","Nigeria","Midfielder",3299,2,0
31,"Demarai Gray",204,"1996-06-28","England","Midfielder",1992,4,1
32,"James Maddison",204,"1996-11-23","England","Midfielder",2850,7,7
33,"Kelechi Iheanacho",204,"1996-10-03","Nigeria","Forward",926,1,3
34,"Jamie Vardy",204,"1987-01-11","England","Forward",2735,18,4
35,"Rachid Ghezzal",204,"1992-05-09","Algeria","Forward",738,1,0
36,"Vicente Iborra De La Fuente",204,"1988-01-16","Spain","Midfielder",226,0,0
37,"Jonny Evans",204,"1988-01-03","Northern Ireland","Defender",1995,1,0
38,"Marc Albrighton",204,"1989-11-18","England","Midfielder",1626,2,2
39,"Danny Ward",204,"1993-06-22","Wales","Goalkeeper",0,0,0
40,"Christian Fuchs",204,"1986-04-07","Austria","Defender",206,0,0
41,"Martin Dúbravka",215,"1989-01-15","Slovakia","Goalkeeper",3420,0,0
42,"Ciaran Clark",215,"1989-09-26","Republic of Ireland","Defender",857,3,0
43,"Jamal Lascelles",215,"1993-11-11","England","Defender",2748,0,1
44,"Paul Dummett",215,"1991-09-26","Wales","Defender",1986,0,0
45,"DeAndre Yedlin",215,"1993-07-09","USA","Defender",2475,1,2
46,"Jonjo Shelvey",215,"1992-02-27","England","Midfielder",944,1,1
47,"Mohamed Diamé",215,"1987-06-14","Senegal","Midfielder",2165,0,0
48,"Matt Ritchie",215,"1989-09-10","Scotland","Midfielder",2940,2,8
49,"Robert Kenedy Nunes do Nascimento",215,"1996-02-08","Brazil","Midfielder",1344,1,1
50,"José Luis Sanmartín Mato",215,"1990-03-27","Spain","Forward",586,2,0
51,"Ayoze Perez",215,"1993-07-29","Spain","Forward",2929,12,2
52,"Rondon",215,"1989-09-16","Venezuela","Forward",2609,11,7
53,"Christian Atsu Twasam",215,"1992-01-10","Ghana","Midfielder",1487,1,0
54,"Yoshinori Muto",215,"1992-07-15","Japan","Forward",516,1,0
55,"Sung-Yeung Ki",215,"1989-01-24","South Korea","Midfielder",1302,0,1
56,"Fabian Schär",215,"1991-12-20","Switzerland","Defender",2002,4,1
57,"Javier Manquillo Gaitán",215,"1994-05-05","Spain","Defender",1097,0,3
58,"Karl Darlow",215,"1990-10-08","England","Goalkeeper",0,0,0
59,"Hugo Lloris",202,"1986-12-26","France","Goalkeeper",2970,0,0
60,"Jan Vertonghen",202,"1987-04-24","Belgium","Defender",1915,1,0
61,"Serge Aurier",202,"1992-12-24","Côte d'Ivoire","Defender",564,0,2
62,"Ben Davies",202,"1993-04-24","Wales","Defender",1839,0,0
63,"Davinson Sánchez Mina",202,"1996-06-12","Colombia","Defender",1943,1,1
64,"Moussa Sissoko",202,"1989-08-16","France","Midfielder",2336,0,3
65,"Christian Eriksen",202,"1992-02-14","Denmark","Midfielder",2772,8,12
66,"Lucas Rodrigues Moura da Silva",202,"1992-08-13","Brazil","Midfielder",2127,10,0
67,"Dele Alli",202,"1996-04-11","England","Midfielder",1827,5,3
68,"Eric Dier",202,"1994-01-15","England","Midfielder",1510,3,0
69,"Harry Kane",202,"1993-07-28","England","Forward",2427,17,4
70,"Moussa Dembele",202,"1987-07-16","Belgium","Midfielder",516,0,0
71,"Heung-Min Son",202,"1992-07-08","South Korea","Forward",2048,12,6
72,"Luke Amos",202,"1997-02-23","England","Midfielder",2,0,0
73,"Toby Alderweireld",202,"1989-03-02","Belgium","Defender",2924,0,0
74,"Michel Vorm",202,"1983-10-20","Netherlands","Goalkeeper",180,0,0
75,"Kyle Walker-Peters",202,"1997-04-13","England","Defender",374,0,3
76,"Fernando Llorente Torres",202,"1985-02-26","Spain","Forward",683,1,4
77,"Asmir Begović",209,"1987-06-20","Bosnia and Herzegovina","Goalkeeper",2160,0,0
78,"Charlie Daniels",209,"1986-09-07","England","Defender",1583,1,0
79,"Adam Smith",209,"1991-04-29","England","Defender",2073,1,1
80,"Steve Cook",209,"1991-04-19","England","Defender",2787,1,1
81,"Nathan Aké",209,"1995-02-18","Netherlands","Defender",3412,4,0
82,"Andrew Surman",209,"1986-08-20","England","Midfielder",1438,0,0
83,"Dan Gosling",209,"1990-02-01","England","Midfielder",1737,2,1
84,"Ryan Fraser",209,"1994-02-24","Scotland","Midfielder",3173,7,13
85,"David Brooks",209,"1997-07-08","England","Forward",2278,7,5
86,"Callum Wilson",209,"1992-02-27","England","Forward",2535,14,9
87,"Joshua King",209,"1992-01-15","Norway","Forward",2974,12,3
88,"Simon Francis",209,"1985-02-16","England","Defender",1226,0,2
89,"Lys Mousset",209,"1996-02-08","France","Forward",345,1,0
90,"Jermain Defoe",209,"1982-10-07","England","Forward",21,0,0
91,"Artur Boruc",209,"1980-02-20","Poland","Goalkeeper",1080,0,0
92,"Jordon Ibe",209,"1995-12-08","England","Midfielder",795,1,1
93,"Lewis Cook",209,"1997-02-03","England","Midfielder",721,0,0
94,"Tyrone Mings",209,"1993-03-13","England","Defender",141,0,0
95,"Neil Leonard Dula Etheridge",216,"1990-02-07","Philippines","Goalkeeper",3420,0,0
96,"Lee Peltier",216,"1986-12-11","England","Defender",1542,0,0
97,"Bruno Écuélé Manga",216,"1988-07-16","Gabon","Defender",3375,0,1
98,"Souleymane Bamba",216,"1985-01-13","Côte d'Ivoire","Defender",2475,4,1
99,"Sean Morrison",216,"1991-01-08","England","Defender",3040,1,3
100,"Joe Bennett",216,"1990-03-28","England","Defender",2641,0,1
101,"Callum Paterson",216,"1994-10-13","Scotland","Defender",1996,4,1
102,"Bobby Reid",216,"1993-02-02","England","Midfielder",1422,5,2
103,"Joe Ralls",216,"1993-10-13","England","Midfielder",1959,0,0
104,"David Junior Hoilett",216,"1990-06-05","Canada","Forward",2142,3,1
105,"Nathaniel Mendez-Laing",216,"1992-04-15","England","Midfielder",984,4,1
106,"Danny Ward",216,"1990-12-09","England","Forward",440,1,0
107,"Josh Murphy",216,"1995-02-24","England","Forward",1825,3,2
108,"Gary Madine",216,"1990-08-24","England","Forward",32,0,0
109,"Alex Smithies",216,"1990-03-05","England","Goalkeeper",0,0,0
110,"Víctor Camarasa",216,"1994-05-28","Spain","Midfielder",2579,5,4
111,"Greg Cunningham",216,"1991-01-31","Republic of Ireland","Defender",630,0,0
112,"Jazz Richards",216,"1991-04-12","Wales","Defender",128,0,0
113,"Fabricio Martín Agosto Ramírez",217,"1987-12-31","Spain","Goalkeeper",180,0,0
114,"Maxime Le Marchand",217,"1989-10-11","France","Defender",2251,0,1
115,"Cyrus Christie",217,"1992-09-30","Republic of Ireland","Defender",1943,0,1
116,"Joe Bryan",217,"1993-09-17","England","Defender",2350,0,1
117,"Calum Chambers",217,"1995-01-20","England","Defender",2587,2,0
118,"Kevin McDonald",217,"1988-11-04","Scotland","Midfielder",842,0,0
119,"André Schürrle",217,"1990-11-06","Germany","Midfielder",1650,6,0
120,"Tom Cairney",217,"1991-01-20","Scotland","Midfielder",2198,1,1
121,"Jean Michaël Seri",217,"1991-07-19","Côte d'Ivoire","Midfielder",2252,1,2
122,"Ryan Sessegnon",217,"2000-05-18","England","Defender",2298,2,6
123,"Aleksandar Mitrović",217,"1994-09-16","Serbia","Forward",3282,11,3
124,"Aboubakar Kamara",217,"1995-03-07","France","Forward",687,3,0
125,"Luciano Vietto",217,"1993-12-05","Argentina","Forward",983,1,4
126,"Stefan Marius Johansen",217,"1991-01-08","Norway","Midfielder",412,0,0
127,"Neeskens Kebano",217,"1992-03-10","Congo DR","Midfielder",103,0,0
128,"Timothy Fosu-Mensah",217,"1998-01-02","Netherlands","Defender",795,0,0
129,"Sergio Rico",217,"1993-09-01","Spain","Goalkeeper",2610,0,0
130,"Ibrahima Cissé",217,"1994-02-28","Belgium","Midfielder",87,0,0
131,"Wayne Hennessey",205,"1987-01-24","Wales","Goalkeeper",1575,0,0
132,"Mamadou Sakho",205,"1990-02-13","France","Defender",2417,0,0
133,"James Tomkins",205,"1989-03-29","England","Defender",2563,1,1
134,"Patrick van Aanholt",205,"1990-08-29","Netherlands","Defender",3198,3,2
135,"Jeffrey Schlupp",205,"1992-12-23","Ghana","Defender",1665,4,1
136,"Aaron Wan-Bissaka",205,"1997-11-26","England","Midfielder",3135,0,3
137,"James McArthur",205,"1987-10-07","Scotland","Midfielder",3071,3,6
138,"Andros Townsend",205,"1991-07-16","England","Midfielder",3018,6,4
139,"Luka Milivojević",205,"1991-04-07","Serbia","Midfielder",3420,12,2
140,"Christian Benteke",205,"1990-12-03","Belgium","Forward",813,1,1
141,"Wilfried Zaha",205,"1992-11-10","Côte d'Ivoire","Midfielder",3041,10,5
142,"Alexander Sørloth",205,"1995-12-05","Norway","Forward",173,0,0
143,"Cheikhou Kouyaté",205,"1989-12-21","Senegal","Midfielder",1897,0,2
144,"Pape N'Diaye Souaré",205,"1990-06-06","Senegal","Defender",0,0,0
145,"Joel Ward",205,"1989-10-29","England","Defender",551,1,0
146,"Vicente Guaita",205,"1987-01-10","Spain","Goalkeeper",1755,0,0
147,"Martin Kelly",205,"1990-04-27","England","Defender",1110,0,0
148,"Jaïro Riedewald",205,"1996-09-09","Netherlands","Defender",0,0,0
149,"Ben Hamer",219,"1987-11-20","England","Goalkeeper",553,0,0
150,"Mathias Jattah-Njie Jørgensen",219,"1990-04-23","Denmark","Defender",2148,3,1
151,"Chris Löwe",219,"1989-04-16","Germany","Defender",2057,0,2
152,"Christopher Schindler",219,"1990-04-29","Germany","Defender",3262,1,0
153,"Terence Kongolo",219,"1994-02-14","Netherlands","Defender",2722,1,1
154,"Florent Hadergjonaj",219,"1994-07-31","Switzerland","Defender",1840,0,0
155,"Jonathan Hogg",219,"1988-12-06","England","Midfielder",2377,0,1
156,"Aaron Mooy",219,"1990-09-15","Australia","Midfielder",2327,3,1
157,"Alex Pritchard",219,"1993-05-03","England","Midfielder",2092,2,0
158,"Philip Billing",219,"1996-06-11","Denmark","Midfielder",2192,2,0
159,"Steve Mounié",219,"1994-09-29","Benin","Forward",1777,2,3
160,"Laurent Depoitre",219,"1988-12-07","Belgium","Forward",1059,0,1
161,"Adama Diakhaby",219,"1996-07-05","France","Forward",551,0,0
162,"Jonas Lössl",219,"1989-02-01","Denmark","Goalkeeper",2777,0,1
163,"Tom Smith",219,"1992-04-14","England","Defender",1141,0,0
164,"Ramadan Sobhi",219,"1997-01-23","Egypt","Forward",75,0,0
165,"Rajiv van La Parra",219,"1991-06-04","Netherlands","Midfielder",407,0,0
166,"Jon Gorenc Stankovič",219,"1996-01-14","Slovenia","Defender",718,1,0
167,"Kepa Arrizabalaga",212,"1994-10-03","Spain","Goalkeeper",3240,0,0
168,"David Luiz",212,"1987-04-22","Brazil","Defender",3239,3,2
169,"Cesar Azpilicueta",212,"1989-08-28","Spain","Defender",3403,1,5
170,"Marcos Alonso",212,"1990-12-28","Spain","Defender",2761,2,4
171,"Antonio Rüdiger",212,"1993-03-03","Germany","Defender",2874,1,0
172,"Ross Barkley",212,"1993-12-05","England","Midfielder",1241,3,5
173,"Jorginho",212,"1991-12-20","Italy","Midfielder",3165,2,0
174,"N'Golo Kanté",212,"1991-03-29","France","Midfielder",3096,4,4
175,"Willian",212,"1988-08-09","Brazil","Forward",2108,3,6
176,"Pedro Rodriguez",212,"1987-07-28","Spain","Midfielder",1780,8,2
177,"Alvaro Morata",212,"1992-10-23","Spain","Forward",943,5,0
178,"Ruben Loftus-Cheek",212,"1996-01-23","England","Midfielder",983,6,2
179,"Eden Hazard",212,"1991-01-07","Belgium","Midfielder",2926,16,15
180,"Victor Moses",212,"1990-12-12","Nigeria","Midfielder",26,0,0
181,"Wilfredo Daniel Caballero",212,"1981-09-28","Argentina","Goalkeeper",180,0,0
182,"Olivier Giroud",212,"1986-09-30","France","Forward",832,2,4
183,"Davide Zappacosta",212,"1992-06-11","Italy","Defender",125,0,0
184,"Andreas Christensen",212,"1996-04-10","Denmark","Defender",615,0,0
185,"Ben Foster",214,"1983-04-03","England","Goalkeeper",3420,0,0
186,"José Holebas",214,"1984-06-27","Greece","Defender",2394,3,6
187,"Craig Cathcart",214,"1989-02-06","Northern Ireland","Defender",3099,3,0
188,"Christian Kabasele",214,"1991-02-24","Belgium","Defender",1587,0,0
189,"Daryl Janmaat",214,"1989-07-22","Netherlands","Defender",1521,0,2
190,"Etienne Capoue",214,"1988-07-11","France","Midfielder",2947,1,3
191,"Roberto Maximiliano Pereyra",214,"1991-01-07","Argentina","Forward",2825,6,1
192,"Abdoulaye Doucouré",214,"1993-01-01","France","Midfielder",3062,5,6
193,"Will Hughes",214,"1995-04-17","England","Midfielder",2436,2,4
194,"Troy Deeney",214,"1988-06-29","England","Forward",2548,9,5
195,"Andre Gray",214,"1991-06-26","England","Forward",1358,7,2
196,"Isaac Ajayi Success",214,"1996-01-07","Nigeria","Forward",1037,1,1
197,"Ken Sema",214,"1993-09-30","Sweden","Midfielder",755,1,2
198,"Francisco Femenía Far",214,"1991-02-02","Spain","Midfielder",2045,1,1
199,"Heurelho da Silva Gomes",214,"1981-02-15","Brazil","Goalkeeper",0,0,0
200,"Sebastian Prödl",214,"1987-06-21","Austria","Defender",13,0,0
201,"Adrian Mariappa",214,"1986-10-03","Jamaica","Defender",1921,0,0
202,"Adam Masina",214,"1994-01-02","Italy","Defender",1003,0,1
203,"Mathew Ryan",218,"1992-04-08","Australia","Goalkeeper",3060,0,0
204,"Bruno Saltor Grau",218,"1980-10-01","Spain","Defender",1136,0,1
205,"Shane Duffy",218,"1992-01-01","Republic of Ireland","Defender",3088,5,1
206,"Lewis Dunk",218,"1991-11-21","England","Defender",3153,2,1
207,"Bernardo",218,"1995-05-14","Brazil","Defender",1750,0,1
208,"Dale Stephens",218,"1989-06-12","England","Midfielder",2487,1,1
209,"Pascal Groß",218,"1991-06-15","Germany","Midfielder",1878,3,3
210,"Davy Pröpper",218,"1991-09-02","Netherlands","Midfielder",2551,1,1
211,"Anthony Knockaert",218,"1991-11-20","France","Midfielder",1832,2,6
212,"Solomon March",218,"1994-07-20","England","Midfielder",2473,1,5
213,"Glenn Murray",218,"1983-09-25","England","Forward",2514,13,1
214,"Gaëtan Bong Songo",218,"1988-04-25","Cameroon","Defender",1805,0,0
215,"Yves Bissouma",218,"1996-08-30","Mali","Midfielder",1769,0,0
216,"Alireza Jahanbakhsh",218,"1993-08-11","Iran","Forward",1022,0,0
217,"Beram Kayal",218,"1988-05-02","Israel","Midfielder",933,1,1
218,"Jürgen Locadia",218,"1993-11-07","Netherlands","Forward",1227,2,0
219,"Leon Balogun",218,"1988-06-28","Nigeria","Defender",591,1,0
220,"David Button",218,"1989-02-27","England","Goalkeeper",360,0,0
221,"Rui Pedro dos Santos Patrício",220,"1988-02-15","Portugal","Goalkeeper",3330,0,0
222,"Ryan Bennett",220,"1990-03-06","England","Defender",3060,1,0
223,"Willy Boly",220,"1991-02-03","France","Defender",3169,4,0
224,"Matt Doherty",220,"1992-01-16","Republic of Ireland","Defender",3147,4,5
225,"Conor Coady",220,"1993-02-25","England","Midfielder",3420,0,0
226,"Jonny",220,"1994-03-03","Spain","Defender",2780,1,1
227,"João Moutinho",220,"1986-09-08","Portugal","Midfielder",3040,1,8
228,"Rúben Diogo Da Silva Neves",220,"1997-03-13","Portugal","Midfielder",3009,4,3
229,"Diogo José Teixeira da Silva",220,"1996-12-04","Portugal","Midfielder",2371,9,5
230,"Hélder Wander Sousa Azevedo Costa",220,"1994-01-12","Portugal","Midfielder",1345,1,2
231,"Raúl Alonso Jiménez Rodríguez",220,"1991-05-05","Mexico","Forward",3125,13,7
232,"Leonardo Bonatini Lohner Maia",220,"1994-03-28","Brazil","Forward",128,0,1
233,"Rúben Gonçalo Silva Nascimento Vinagre",220,"1999-04-09","Portugal","Defender",703,0,0
234,"Morgan Gibbs-White",220,"2000-01-27","England","Midfielder",647,0,1
235,"Bright Enobakhare",220,"1998-02-08","England","Forward",0,0,0
236,"John Ruddy",220,"1986-10-24","England","Goalkeeper",90,0,0
237,"Romain Saïss",220,"1990-03-26","Morocco","Midfielder",1144,2,0
238,"Kortney Hause",220,"1995-07-16","England","Defender",0,0,0
239,"Jordan Pickford",206,"1994-03-07","England","Goalkeeper",3420,0,0
240,"Phil Jagielka",206,"1982-08-17","England","Defender",329,1,0
241,"Leighton Baines",206,"1984-12-11","England","Defender",376,0,0
242,"Séamus Coleman",206,"1988-10-11","Republic of Ireland","Defender",2560,2,2
243,"Michael Keane",206,"1993-01-11","England","Defender",2970,1,2
244,"Morgan Schneiderlin",206,"1989-11-08","France","Midfielder",833,0,1
245,"Gylfi Sigurdsson",206,"1989-09-08","Iceland","Midfielder",3134,13,6
246,"Idrissa Gana Gueye",206,"1989-09-26","Senegal","Midfielder",2825,0,2
247,"Theo Walcott",206,"1989-03-16","England","Forward",2122,5,2
248,"Cenk Tosun",206,"1991-06-07","Turkey","Forward",1050,3,3
249,"Richarlison de Andrade",206,"1997-05-10","Brazil","Forward",2679,13,1
250,"Mason Holgate",206,"1996-10-22","England","Defender",407,0,0
251,"Oumar Niasse",216,"1990-04-18","Senegal","Forward",998,0,0
252,"Lucas Digne",206,"1993-07-20","France","Defender",2990,4,4
253,"Sandro Ramirez",206,"1995-07-09","Spain","Forward",0,0,0
254,"Maarten Stekelenburg",206,"1982-09-22","Netherlands","Goalkeeper",0,0,0
255,"Tom Davies",206,"1998-06-30","England","Midfielder",975,0,0
256,"Dominic Calvert-Lewin",206,"1997-03-16","England","Forward",1774,6,2
257,"Alisson Becker",211,"1992-10-02","Brazil","Goalkeeper",3420,0,0
258,"Virgil van Dijk",211,"1991-07-08","Netherlands","Defender",3385,4,2
259,"Andrew Robertson",211,"1994-03-11","Scotland","Defender",3219,0,11
260,"Joe Gomez",211,"1997-05-23","England","Defender",1060,0,0
261,"Trent Alexander-Arnold",211,"1998-10-07","England","Defender",2467,1,12
262,"James Milner",211,"1986-01-04","England","Midfielder",1785,5,4
263,"Georginio Wijnaldum",211,"1990-11-11","Netherlands","Midfielder",2735,3,0
264,"Naby Deco Keïta",211,"1995-02-10","Guinea","Midfielder",1392,2,1
265,"Roberto Firmino",211,"1991-10-02","Brazil","Forward",2620,12,6
266,"Mohamed Salah",211,"1992-06-15","Egypt","Forward",3262,22,8
267,"Sadio Mané",211,"1992-04-10","Senegal","Forward",3086,22,1
268,"Jordan Henderson",211,"1990-06-17","England","Midfielder",1983,1,3
269,"Xherdan Shaqiri",211,"1991-10-10","Switzerland","Midfielder",1058,6,3
270,"Daniel Sturridge",211,"1989-09-01","England","Forward",496,2,1
271,"Loris Karius",211,"1993-06-22","Germany","Goalkeeper",0,0,0
272,"Nathaniel Clyne",209,"1991-04-05","England","Defender",1254,0,1
273,"Fabinho",211,"1993-10-23","Brazil","Midfielder",2013,1,2
274,"Adam David Lallana",211,"1988-05-10","England","Midfielder",465,0,0
275,"Łukasz Fabiański",213,"1985-04-18","Poland","Goalkeeper",3420,0,0
276,"Angelo Ogbonna",213,"1988-05-23","Italy","Defender",1870,1,1
277,"Arthur Masuaku",213,"1993-11-07","France","Defender",1700,0,1
278,"Ryan Fredericks",213,"1992-10-10","England","Midfielder",1085,1,0
279,"Fabián Cornelio Balbuena González",213,"1991-08-23","Paraguay","Defender",2014,1,0
280,"Mark Noble",213,"1987-05-08","England","Midfielder",2308,5,5
281,"Jack Wilshere",213,"1992-01-01","England","Midfielder",389,0,1
282,"Michail Antonio",213,"1990-03-28","England","Midfielder",2099,6,4
283,"Felipe Anderson Pereira Gomes",213,"1993-04-15","Brazil","Midfielder",3054,9,4
284,"Declan Rice",213,"1999-01-14","Republic of Ireland","Midfielder",3005,2,0
285,"Marko Arnautović",213,"1989-04-19","Austria","Forward",2000,10,4
286,"Robert Snodgrass",213,"1987-09-07","Scotland","Midfielder",2222,2,5
287,"Javier Hernandez",213,"1988-06-01","Mexico","Forward",1335,7,1
