"id","name","played","win","loss","draw"
201,"Arsenal",38,21,10,7
202,"Tottenham Hotspur",38,23,13,2
203,"Manchester City",38,32,4,2
204,"Leicester City",38,15,16,7
205,"Crystal Palace",38,14,17,7
206,"Everton",38,15,14,9
207,"Burnley",38,11,20,7
208,"Southampton",38,9,17,12
209,"AFC Bournemouth",38,13,19,6
210,"Manchester United",38,19,10,9
211,"Liverpool",38,30,1,7
212,"Chelsea",38,21,8,9
213,"West Ham United",38,15,16,7
214,"Watford",38,14,16,8
215,"Newcastle United",38,12,17,9
216,"Cardiff City",38,10,24,4
217,"Fulham",38,7,26,5
218,"Brighton & Hove Albion",38,9,20,9
219,"Huddersfield Town",38,3,28,7
220,"Wolverhampton Wanderers",38,16,13,9